ORDER_ID,PRODUCT_ID,CUSTOMER_ID,ORDER_DATE,UNIT_PRICE,QUANTITY,ORDER_SEQ,DAYS_BETWEEN_FIRST_LAST_PURCHASE,CUSTOMER_TYPE
10409,14,OCEAN,1997-01-09T00:00:00.000Z,18.6,12,1,445,returning
10409,21,OCEAN,1997-01-09T00:00:00.000Z,8,12,1,445,returning
10531,59,OCEAN,1997-05-08T00:00:00.000Z,55,2,2,445,returning
10898,13,OCEAN,1998-02-20T00:00:00.000Z,6,5,3,445,returning
10958,5,OCEAN,1998-03-18T00:00:00.000Z,21.35,20,4,445,returning
10958,7,OCEAN,1998-03-18T00:00:00.000Z,30,6,4,445,returning
10958,72,OCEAN,1998-03-18T00:00:00.000Z,34.8,5,4,445,returning
10986,11,OCEAN,1998-03-30T00:00:00.000Z,21,30,5,445,returning
10986,20,OCEAN,1998-03-30T00:00:00.000Z,81,15,5,445,returning
10986,76,OCEAN,1998-03-30T00:00:00.000Z,18,10,5,445,returning
10986,77,OCEAN,1998-03-30T00:00:00.000Z,13,15,5,445,returning
10256,77,WELLI,1996-07-15T00:00:00.000Z,10.4,12,1,602,returning
10256,53,WELLI,1996-07-15T00:00:00.000Z,26.2,15,1,602,returning
10420,9,WELLI,1997-01-21T00:00:00.000Z,77.6,20,2,602,returning
10420,13,WELLI,1997-01-21T00:00:00.000Z,4.8,2,2,602,returning
10420,70,WELLI,1997-01-21T00:00:00.000Z,12,8,2,602,returning
10420,73,WELLI,1997-01-21T00:00:00.000Z,12,20,2,602,returning
10585,47,WELLI,1997-07-01T00:00:00.000Z,9.5,15,3,602,returning
10644,46,WELLI,1997-08-25T00:00:00.000Z,12,21,4,602,returning
10644,43,WELLI,1997-08-25T00:00:00.000Z,46,20,4,602,returning
10644,18,WELLI,1997-08-25T00:00:00.000Z,62.5,4,4,602,returning
10803,19,WELLI,1997-12-30T00:00:00.000Z,9.2,24,5,602,returning
10803,25,WELLI,1997-12-30T00:00:00.000Z,14,15,5,602,returning
10803,59,WELLI,1997-12-30T00:00:00.000Z,55,15,5,602,returning
10809,52,WELLI,1998-01-01T00:00:00.000Z,7,20,6,602,returning
10900,70,WELLI,1998-02-20T00:00:00.000Z,15,3,7,602,returning
10905,1,WELLI,1998-02-24T00:00:00.000Z,18,20,8,602,returning
10935,1,WELLI,1998-03-09T00:00:00.000Z,18,21,9,602,returning
10935,18,WELLI,1998-03-09T00:00:00.000Z,62.5,4,9,602,returning
10935,23,WELLI,1998-03-09T00:00:00.000Z,9,8,9,602,returning
10261,35,QUEDE,1996-07-19T00:00:00.000Z,14.4,20,1,620,returning
10261,21,QUEDE,1996-07-19T00:00:00.000Z,8,20,1,620,returning
10291,13,QUEDE,1996-08-27T00:00:00.000Z,4.8,20,2,620,returning
10291,44,QUEDE,1996-08-27T00:00:00.000Z,15.5,24,2,620,returning
10291,51,QUEDE,1996-08-27T00:00:00.000Z,42.4,2,2,620,returning
10379,41,QUEDE,1996-12-11T00:00:00.000Z,7.7,8,3,620,returning
10379,63,QUEDE,1996-12-11T00:00:00.000Z,35.1,16,3,620,returning
10379,65,QUEDE,1996-12-11T00:00:00.000Z,16.8,20,3,620,returning
10421,19,QUEDE,1997-01-21T00:00:00.000Z,7.3,4,4,620,returning
10421,26,QUEDE,1997-01-21T00:00:00.000Z,24.9,30,4,620,returning
10421,53,QUEDE,1997-01-21T00:00:00.000Z,26.2,15,4,620,returning
10421,77,QUEDE,1997-01-21T00:00:00.000Z,10.4,10,4,620,returning
10587,26,QUEDE,1997-07-02T00:00:00.000Z,31.23,6,5,620,returning
10587,77,QUEDE,1997-07-02T00:00:00.000Z,13,20,5,620,returning
10587,35,QUEDE,1997-07-02T00:00:00.000Z,18,20,5,620,returning
10647,19,QUEDE,1997-08-27T00:00:00.000Z,9.2,30,6,620,returning
10647,39,QUEDE,1997-08-27T00:00:00.000Z,18,20,6,620,returning
10720,35,QUEDE,1997-10-28T00:00:00.000Z,18,21,7,620,returning
10720,71,QUEDE,1997-10-28T00:00:00.000Z,21.5,8,7,620,returning
10794,14,QUEDE,1997-12-24T00:00:00.000Z,23.25,15,8,620,returning
10794,54,QUEDE,1997-12-24T00:00:00.000Z,7.45,6,8,620,returning
10989,6,QUEDE,1998-03-31T00:00:00.000Z,25,40,9,620,returning
10989,11,QUEDE,1998-03-31T00:00:00.000Z,21,15,9,620,returning
10989,41,QUEDE,1998-03-31T00:00:00.000Z,9.65,4,9,620,returning
10260,57,OTTIK,1996-07-19T00:00:00.000Z,15.6,50,1,634,returning
